"","Year","Quarter","IntercatchMetierTag","VesselLenthCategory","Area","KWdays","DaysatSea","NoVessels","FDFVessel","Country","ID"
"44",2015,"Q2","OTB_CRU_>=120_0_0","=40m","27.4.a",15122.1356351974,4.1072494212963,9,NA,"NO",44
"45",2015,"Q2","OTB_CRU_>=120_0_0","24<40m","27.4.a",119988.991804236,160.739525462963,6,NA,"NO",45
"46",2015,"Q2","OTB_CRU_16-31_0_0","=40m","27.4.a",7388.46350440191,4.22019675925926,5,NA,"NO",46
"47",2015,"Q2","OTB_CRU_16-31_0_0","10<24m","27.3.a.20",250.62128425,0.946527777777778,1,NA,"NO",47
"48",2015,"Q2","OTB_CRU_16-31_0_0","24<40m","27.4.a",169123.090191044,143.748981481481,2,NA,"NO",48
"49",2015,"Q2","OTB_CRU_32-69_0_0","=40m","27.4.a",5915.63871727338,1.95105324074074,2,NA,"NO",49
"50",2015,"Q2","OTB_CRU_32-69_0_0","10<24m","27.3.a.20",23177.0023500365,65.5375462962963,5,NA,"NO",50
"51",2015,"Q2","OTB_CRU_32-69_0_0","10<24m","27.4.a",880.316710047222,2.46298611111111,2,NA,"NO",51
"52",2015,"Q2","OTB_CRU_32-69_0_0","24<40m","27.4.a",262010.88380902,362.081805555556,6,NA,"NO",52
"53",2015,"Q2","OTB_DEF_<16_0_0","=40m","27.4.a",4050.21528145921,1.49506944444444,4,NA,"NO",53
"54",2015,"Q2","OTB_DEF_<16_0_0","=40m","27.4.b",49832.2358423041,20.1481458333333,17,NA,"NO",54
"55",2015,"Q2","OTB_DEF_<16_0_0","24<40m","27.4.a",46181.6481708708,39.4326388888889,2,NA,"NO",55
"56",2015,"Q2","OTB_DEF_<16_0_0","24<40m","27.4.b",48100.1896509229,44.1770833333333,3,NA,"NO",56
"57",2015,"Q2","OTB_DEF_>=120_0_0","=40m","27.4.a",167001.029948802,47.1794508101852,27,NA,"NO",57
"58",2015,"Q2","OTB_DEF_>=120_0_0","=40m","27.4.b",35001.0076233479,11.8284027777778,2,NA,"NO",58
"59",2015,"Q2","OTB_DEF_>=120_0_0","=40m","27.6.a",2246.12337066019,0.443988040123457,7,NA,"NO",59
"60",2015,"Q2","OTB_DEF_>=120_0_0","10<24m","27.3.a.20",56009.4017915025,98.8654658564815,7,NA,"NO",60
"61",2015,"Q2","OTB_DEF_>=120_0_0","10<24m","27.4.a",19325.9308629444,29.8590277777778,1,NA,"NO",61
"62",2015,"Q2","OTB_DEF_>=120_0_0","10<24m","27.4.b",3226.28168639583,5.21458333333333,2,NA,"NO",62
"63",2015,"Q2","OTB_DEF_>=120_0_0","24<40m","27.3.a.20",142142.207042358,191.822222222222,7,NA,"NO",63
"64",2015,"Q2","OTB_DEF_>=120_0_0","24<40m","27.4.a",849522.53990618,1100.15257581019,14,NA,"NO",64
"65",2015,"Q2","OTB_DEF_>=120_0_0","24<40m","27.4.b",23068.9670811828,30.8001157407407,8,NA,"NO",65
"66",2015,"Q2","OTB_DEF_100-119_0_0","24<40m","27.4.b",638.96475625,0.579166666666667,1,NA,"NO",66
"67",2015,"Q2","OTB_DEF_16-31_0_0","=40m","27.4.a",51131.2403125043,25.5079903549383,13,NA,"NO",67
"68",2015,"Q2","OTB_DEF_16-31_0_0","=40m","27.4.b",2652.79869129195,0.852070023148148,8,NA,"NO",68
"69",2015,"Q2","OTB_DEF_16-31_0_0","=40m","27.4.c",19.8431501041667,0.00972222222222222,1,NA,"NO",69
"70",2015,"Q2","OTB_DEF_16-31_0_0","10<24m","27.3.a.20",97212.1133387708,215.277777777778,3,NA,"NO",70
"71",2015,"Q2","OTB_DEF_16-31_0_0","10<24m","27.4.a",34.8324750079282,0.0728599537037037,1,NA,"NO",71
"72",2015,"Q2","OTB_DEF_16-31_0_0","10<24m","27.4.b",0.932171205594136,0.00194984567901235,1,NA,"NO",72
"73",2015,"Q2","OTB_DEF_16-31_0_0","24<40m","27.4.a",826879.432172856,733.00369212963,3,NA,"NO",73
"74",2015,"Q2","OTB_DEF_16-31_0_0","24<40m","27.4.b",11164.2082740313,10.1145833333333,2,NA,"NO",74
"75",2015,"Q2","OTB_DEF_32-69_0_0","=40m","27.3.a.20",103.936904981481,0.0339699074074074,1,NA,"NO",75
"76",2015,"Q2","OTB_DEF_32-69_0_0","=40m","27.4.a",31787.759711326,11.2215856481481,9,NA,"NO",76
"77",2015,"Q2","OTB_DEF_32-69_0_0","=40m","27.4.b",547.985232493981,0.177233796296296,2,NA,"NO",77
"78",2015,"Q2","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",176405.470871965,589.172841242284,23,NA,"NO",78
"79",2015,"Q2","OTB_DEF_32-69_0_0","10<24m","27.4.a",NA,1173.71410455247,13,NA,"NO",79
"80",2015,"Q2","OTB_DEF_32-69_0_0","24<40m","27.3.a.20",NA,979.807367862654,12,NA,"NO",80
"81",2015,"Q2","OTB_DEF_32-69_0_0","24<40m","27.4.a",542692.899337868,794.339784143519,16,NA,"NO",81
